FROM,TO,WEIGHT
sorelycor,miderechoeducar,3
sorelycor,tatty1977,3
sorelycor,lucyanaah,3
familiayeducac1,berfontaine,3
defensachilena,miderechoeducar,3
naujoli19,defrente_cl,3
monroeyfrida,24horastvn,3
camilaemiliasv,mangelhv,3
marielacarli,miderechoeducar,3
albanil_perez,paulleon2179,3
jaireboll,afc073,3
titipatriota,cbarriaz,3
poroto_pompis,paz_charpentier,3
riquelme4_irma,el_ciudadano,3
diegoligarda,anahidurandg,3
asearrochile,igualeschile,3
pabloiznikcom1,incommunicadodp,3
canaito031,miderechoeducar,3
octupu,karinstaab,3
mi2023pf,el_ciudadano,3
jsantibanez16,tiapikachu,3
natadeleche3,auroradelgadov,3
natadeleche3,afc073,3
misthermaximo,lucasaykal,3
goffarita1,amorenoe,3
nonohormazabal,berfontaine,3
aguilasuny,berfontaine,3
moninasoto,berfontaine,3
szamhht,paz_charpentier,3
vgonzal61484169,berfontaine,3
maeugeniafuica,berfontaine,3
casaconstarica,meqchile,3
casaconstarica,sindicatocc,3
casaconstarica,el_ciudadano,3
casaconstarica,carovilchesf,3
legadobachelet,meqchile,3
legadobachelet,el_ciudadano,3
jaztes11,el_ciudadano,3
marylen61,el_ciudadano,3
edwinhuallhua,anahidurandg,3
gonzalo68737901,cadem_cl,3
andrezt01,amarillos_chile,3
ema_pata,amorenoe,3
pazenchile2020,amorenoe,3
eaguilac,el_ciudadano,3
lorennaaran,beethovenclusa,3
yolanda41092402,afc073,3
alebravoh,edosalascerda,3
gabriel08804983,afc073,3
cristian198314,paz_charpentier,3
patriciacg111,berfontaine,3
brnalillo,el_ciudadano,3
edu10100,paz_charpentier,3
marceloalonsoh,berfontaine,3
lufernavi,hugoguionista,3
dr_r_valenzuela,berfontaine,3
oherrerag,carovilchesf,3
ong_cyj,miderechoeducar,3
delguaton,paz_charpentier,3
bluestonepame,berfontaine,3
macasilvacost,ccifuentesh,3
wokschile,berfontaine,3
re_redington,berfontaine,3
juaneste31,miderechoeducar,3
smith_1776,berfontaine,3
cidfran75,berfontaine,3
pazvega80397854,jorgepablolguin,3
pazvega80397854,kennysubiabre,3
porlaraznolafu3,berfontaine,3
francis16850854,el_ciudadano,3
ale_caam,sinfiltros_tv,3
m1lib,berfontaine,3
jiba1971,randymarzo,3
cfelmerv,miderechoeducar,3
lacaletaelquisc,miderechoeducar,3
lacaletaelquisc,ccifuentesh,3
cecisira1,berfontaine,3
638b0cf5307847d,berfontaine,3
franciscoelkan,berfontaine,3
rochiopal,jeniffermella,3
ivanarcosivan,kennysubiabre,3
valeria61600307,miderechoeducar,3
valeria61600307,24horastvn,3
primeralineatw,el_ciudadano,3
rubenga64271796,berfontaine,3
miriamcerezo,afc073,3
waldelpac,amarillos_chile,3
madameafrodita,el_ciudadano,3
azzul2006,marcoqz,3
rodrigo80966906,berfontaine,3
ecoconstituyent,24horastvn,3
chileno2707,berfontaine,3
yanolescreonada,berfontaine,3
lavandaz,berfontaine,3
evelyn59011250,berfontaine,3
evelyn59011250,chica61432746,3
espectadortco,berfontaine,3
h_beax,berfontaine,3
sanguchitodepa6,berfontaine,3
guillermo_gmo,berfontaine,3
