FROM,TO,WEIGHT
igri48,saryoasis,10
norasansur62,hugoguionista,10
dolores09072598,hugoguionista,10
malahierba84,frenterebeldes,10
victorcamposc2,el_ciudadano,10
hakainik,el_ciudadano,10
sebinoo,viviluc2,10
choikepurun,mister_wolf_0,10
vernica64755392,roja53c,10
jpaudiophile,hugoguionista,10
malebranpaulina,dlirio,10
hogerfernando,hugoguionista,10
nenamarce,hugoguionista,10
nandofertrokaz,hugoguionista,10
alesuazo23,hugoguionista,10
jaymz314,hugoguionista,10
anita70938139,frenterebeldes,10
makagodoy_,hugoguionista,10
danielzamoranov,mister_wolf_0,10
cabello_omar,hugoguionista,10
kilapaxun0,hugoguionista,10
cjuimos,hugoguionista,10
aggantesde,mister_wolf_0,10
lalfsepulvedag,hugoguionista,10
1956eduardofco,hugoguionista,10
anandatribe,palkatiao,10
patoblue68,roja53c,10
juanpizarrotap2,hugoguionista,10
pablolaserena,lettyblur,10
elizaabeth45,hugoguionista,10
helenagallardom,frenterebeldes,10
vreyesbe,hugoguionista,10
luisalvaradoh2,activistaenrrss,10
ofn64,ferolna,10
pekajackie,mister_wolf_0,10
marcela03779881,octoamaro,10
nhchisham,otdchile,10
pazz39,roja53c,10
aracelimeciasr,lunavallevic,10
daluso30313313,daca_guatu,9
marcela51206720,mister_wolf_0,9
dpm_chile2020,mpaolatuteleers,9
jpeley,mister_wolf_0,9
erhot,mister_wolf_0,9
janecarvajal,tron_1971,9
janecarvajal,baradit,9
joctool,revtt_prensa,9
adrianaperfil,hugoguionista,9
anamari50348479,crovanos,9
revoluciontt,roja53c,9
revoluciontt,primeralineatw,9
mi2023pf,frenterebeldes,9
claudiosilvaq,hugoguionista,9
ebrielynca,hugoguionista,9
marita_stappung,el_ciudadano,9
xparraa,hugoguionista,9
phosforilado,mister_wolf_0,9
marcela95089204,hugoguionista,9
pakasa513,hugoguionista,9
valegonsep,mister_wolf_0,9
opita21,primeralineatw,9
cristic27285429,mister_wolf_0,9
lee_belmar4040,mister_wolf_0,9
ginniasa,revoluciontt,9
kmendozahumada,mister_wolf_0,9
naldo1970,mister_wolf_0,9
etoledog,vivimatus,9
manuelg09416464,el_ciudadano,9
kisarivera01ju1,mister_wolf_0,9
arqmneira,arquitectxschd,9
juanbernardoa11,primeralineatw,9
rosac02549205,frenterebeldes,9
marylen61,primeralineatw,9
michaelcastil29,hugoguionista,9
wakeupchile,palkatiao,9
wakeupchile,primeralineatw,9
wakeupchile,pclascondes,9
weichafe12,el_ciudadano,9
carmen_borbaran,mister_wolf_0,9
eduardo68313754,el_ciudadano,9
nataliacarina,revueltaradial,9
danielc58876017,hugoguionista,9
frenterebeldes,primeralineatw,9
cron1411,crovanos,9
riquelme4_irma,tiapikachu,9
ananuca72,camiver9810,9
seba22stgo,hugoguionista,9
pt92af,hugoguionista,9
azul89716447,revtt_prensa,9
jsantibanez16,el_ciudadano,9
orielgomez11,bosqueazul1,9
alejand81158101,mister_wolf_0,9
alejand81158101,hugoguionista,9
sofiasofa4,oscarcecilio,9
waldoebe,carolin11450107,9
jaime62268206,hugoguionista,9
edotrigol,hugoguionista,9
edotrigol,roja53c,9
munos1977,lunavallevic,9
aalfonsog,hugoguionista,9
pedalealoco,hugoguionista,9
villegas_1980,mister_wolf_0,9
ciudadansjadui1,tron_1971,9
zapata_renato,el_ciudadano,9
isese2017,hugoguionista,9
_vieja_chepa,roja53c,9
rojas_alicias,hugoguionista,9
luzalfa03225036,hugoguionista,9
pelaoevr89a1,mister_wolf_0,9
melisa_cuncumen,noalguve,9
miocapricciogou,hugoguionista,9
sofia_2125,frenterebeldes,9
viscaya13,mister_wolf_0,9
autoraschilenas,revueltaradial,9
hozukaru1,ttenetor,9
roja53c,revtt_prensa,9
harolnestt,hugoguionista,9
plopconchicle,octoamaro,9
helenagallardom,primeralineatw,9
helenagallardom,apruebaxchile,9
lw20111,hugoguionista,9
cucushchanel,elamericax,9
eduardo47595912,bosqueazul1,9
maurodc72,hugoguionista,9
marcegeopch,wakeupchile,9
marcegeopch,bosqueazul1,9
nomesigaxfavor,revtt_prensa,9
k1ngb0a,mister_wolf_0,9
cabildovancouv1,revistaen_torno,9
henrydi22003723,hugoguionista,9
rrcav47,hugoguionista,9
tcc_esperanza,revoluciontt,9
alejandrodazah,hugoguionista,8
daluso30313313,revoluciontt,8
gepetto1584,hugoguionista,8
progreb,karlpop78534593,8
akingisip,tron_1971,8
mvm_ing,mister_wolf_0,8
janecarvajal,camiver9810,8
janecarvajal,mister_wolf_0,8
jcp_julio,revoluciontt,8
patycastell52,hugoguionista,8
juanvial11,hugoguionista,8
mariaan84790241,mister_wolf_0,8
adrianaperfil,crovanos,8
naujoli19,frenterebeldes,8
yasna_cardenasx,saryoasis,8
mvvmca,notapruebo,8
anamari50348479,viviluc2,8
vernica07401640,frenterebeldes,8
vernica07401640,mister_wolf_0,8
revoluciontt,wakeupchile,8
ppitune,viviluc2,8
brnalillo,crovanos,8
mi2023pf,mister_wolf_0,8
maria18740790,mister_wolf_0,8
ebrielynca,bosqueazul1,8
patobustamante,chileconvoca,8
xparraa,crovanos,8
jfcardenasr,hugoguionista,8
jgus48,hugoguionista,8
menina1204,pasalgadod,8
anonymuschileno,crovanos,8
loretay,hugoguionista,8
monka_lover,viviluc2,8
mauricioacunae,mister_wolf_0,8
brennusvaccare1,hugoguionista,8
maxi80728380,hugoguionista,8
rosarioacemon,crovanos,8
rosarioacemon,patriotadeverd4,8
maloncolectivo,felipeparadam,8
rolandiillo,hugoguionista,8
chileconvoca,_vieja_chepa,8
chileconvoca,revoluciontt,8
chileconvoca,frenterebeldes,8
lee_belmar4040,viviluc2,8
bibifloress,bosqueazul1,8
veducador,octoamaro,8
alejandro2020j,hugoguionista,8
rockeroalbo45,hugoguionista,8
gastonlopezbus1,mister_wolf_0,8
marijayaa,el_ciudadano,8
angolguille,hugoguionista,8
dragoni22421519,angeldlacruz_,8
manuelg09416464,estallidotw,8
s21sole21,hugoguionista,8
bertinapporsiem,mister_wolf_0,8
villajarim63,hugoguionista,8
juanarcealvarez,mister_wolf_0,8
juanbernardoa11,el_ciudadano,8
wakeupchile,revoluciontt,8
wakeupchile,patriotadeverd4,8
osvaldoaguiler8,zcensurada,8
osvaldoaguiler8,mister_wolf_0,8
greedian1,hugoguionista,8
iberia_meneses,hugoguionista,8
sofiarique,lgougain,8
mperronegrito,mister_wolf_0,8
frenterebeldes,revtt_prensa,8
emece53,hugoguionista,8
ivan_cc,hugoguionista,8
ijurrarosa,mister_wolf_0,8
renefutbolero1,hugoguionista,8
gytcl,mister_wolf_0,8
pascalaverdd,robertmontalva,8
jorisata,hugoguionista,8
azul89716447,primeralineatw,8
jsantibanez16,crovanos,8
expatipela,frenterebeldes,8
educaciongrat,hugoguionista,8
jsantisl,mister_wolf_0,8
jaztes11,alidatalloni,8
virgo_arcoiris,hugoguionista,8
chunchovenegas,hugoguionista,8
mundorevolucio,el_ciudadano,8
ruthsalinasgal,hugoguionista,8
profekarytop,primeralineatw,8
pennaleon,viviluc2,8
haap21,hugoguionista,8
reyes_foster,mister_wolf_0,8
reyes_foster,lunavallevic,8
agdiuc,hugoguionista,8
veronic23088357,dunicos,8
waldoebe,mister_wolf_0,8
waldoebe,carodistrito1,8
giovann48085989,hugoguionista,8
malahierba84,revtt_prensa,8
edotrigol,eltuiteroantifa,8
tdcar4,hugoguionista,8
vitocobd,mister_wolf_0,8
matakuta88,hugoguionista,8
marcela62393514,mister_wolf_0,8
rjmsolorza60,lunavallevic,8
natalia08231207,bosqueazul1,8
aldebrito,hugoguionista,8
bilopmaria,revoluciontt,8
soledadfernndez,hugoguionista,8
memo_villar,hugoguionista,8
yoryito1974,hugoguionista,8
cariitr0s,revtt_prensa,8
marcelo46676813,hugoguionista,8
edurojo2019oct,hugoguionista,8
daisysarita,hugoguionista,8
andreavp04,revtt_prensa,8
medussamanita,saryoasis,8
mazapan____z,octoamaro,8
pavilar01,lyagonzalez1,8
surfwolf_,primeralineatw,8
pablolaserena,hugoguionista,8
roja53c,patriotadeverd4,8
yessicabrerag,primeralineatw,8
palmerasorgani1,lyagonzalez1,8
sebadepolo,apruebaxchile,8
helenagallardom,marcoqz,8
juanrojasman,mister_wolf_0,8
estela231156,mister_wolf_0,8
dirs82,hugoguionista,8
sdelafu61,patogu15,8
jadueparque,pclascondes,8
jadueparque,revtt_prensa,8
marcegeopch,patriotadeverd4,8
marcegeopch,ttenetor,8
berta_ave,pc_lareina,8
caesear,62_iceman,8
tanjiro_patriot,taniafbi,8
dralfonsocarra2,asusag,8
apruebo4septbre,el_ciudadano,8
daluso30313313,revtt_prensa,7
akingisip,roja53c,7
paularosso7,hugoguionista,7
rolando_romenac,hugoguionista,7
rolando_romenac,crovanos,7
janecarvajal,acru_zi,7
joctool,lunavallevic,7
jcp_julio,hugoguionista,7
patriciapazos53,el_ciudadano,7
mariaan84790241,saryoasis,7
meugeni80338158,mister_wolf_0,7
nolbertoguajar3,mister_wolf_0,7
vernica07401640,lunavallevic,7
pollojksalinas,mister_wolf_0,7
andres_arvs,mister_wolf_0,7
luisgastons,crovanos,7
revoluciontt,revtt_prensa,7
revoluciontt,karamelito65,7
revoluciontt,alexornis5,7
revoluciontt,pclascondes,7
revoluciontt,patriotadeverd4,7
elpumadepucon,marcetys,7
zaspiak,viviluc2,7
_javier_,hugoguionista,7
ebrielynca,mister_wolf_0,7
jsandokan77,hugoguionista,7
marita_stappung,octoamaro,7
xparraa,octoamaro,7
lilianarojasfer,karamelito65,7
psjcardenas,emiliostefanos,7
psjcardenas,mister_wolf_0,7
psjcardenas,noalguve,7
jfcardenasr,mister_wolf_0,7
eugenia70462387,noalguve,7
eugenia70462387,primeralineatw,7
eugenia70462387,aliro2150vldv,7
eugenia70462387,bosqueazul1,7
anonymuschileno,viviluc2,7
gcvvega,hugoguionista,7
fitosolddr,hugoguionista,7
1970sith,karamelito65,7
luisro_bestdad,bosqueazul1,7
aogalde,foryan_,7
erikaalvarezrei,saryoasis,7
ralbert89038996,mister_wolf_0,7
valegonsep,macarenazanartu,7
valegonsep,lyagonzalez1,7
nancy_gatica,mister_wolf_0,7
juliaro76844508,mister_wolf_0,7
lettyblur,frenterebeldes,7
chileconvoca,primeralineatw,7
max201522c,el_ciudadano,7
jimmrobles,hugoguionista,7
tsocialchileno,marcetys,7
bibifloress,hugoguionista,7
pit52147834,hugoguionista,7
jfouillouxf,hugoguionista,7
ducovargas,hugoguionista,7
zxrdo_albo76,mister_wolf_0,7
moragaq,mister_wolf_0,7
naldo1970,apruebo2022,7
pazvega80397854,mpaolatuteleers,7
pazvega80397854,napablaza,7
pope5656,hugoguionista,7
lidiaaedo,mister_wolf_0,7
marioelias77,lunavallevic,7
franciscossch,hugoguionista,7
ravilusa,mister_wolf_0,7
manuelg09416464,dpm_chile2020,7
s21sole21,mister_wolf_0,7
estergae,viviluc2,7
romabepo,revoluciontt,7
opinamoschile,hugoguionista,7
arqmneira,hugoguionista,7
ab_eddo,dunicos,7
olgagarciatiska,marcoporchile,7
siunne,hugoguionista,7
malpons,hugoguionista,7
mtel5985,mister_wolf_0,7
mtel5985,mvm_ing,7
eloliverdel8,mister_wolf_0,7
lilypeder,hugoguionista,7
scherichiacoli_,crovanos,7
ilieol,octoamaro,7
marveraojeda9,apruebocorazon,7
mleiva795,bosqueazul1,7
nonafernandez,nataliacarina,7
casaconstarica,el_ciudadano,7
ricardo43832054,crovanos,7
majive3105,roja53c,7
majive3105,revtt_prensa,7
otdchile,apruebaxchile,7
javangall,mister_wolf_0,7
primeralineatw,hugoguionista,7
barbarafuenttes,marcoporchile,7
gladiador_573,hugoguionista,7
donficha,mister_wolf_0,7
jsantibanez16,baradit,7
jsantibanez16,maritza21532058,7
educalapaila,hugoguionista,7
edgalleguillos,hugoguionista,7
baegex,mister_wolf_0,7
juanmontecino16,hugoguionista,7
xtianes,pc_lareina,7
andynolapino,mister_wolf_0,7
canomata,mister_wolf_0,7
expatipela,hugoguionista,7
guidogms,hugoguionista,7
elkempuja,hugoguionista,7
gatobelicocl,hugoguionista,7
felizyorgulloso,baradit,7
ganoelapruebo,frenterebeldes,7
orielgomez11,hugoguionista,7
ace__d__,mister_wolf_0,7
monicaopazo2,el_ciudadano,7
patodvila1,frenterebeldes,7
cancerianareal,hugoguionista,7
menacaroca,hugoguionista,7
amelygb,frenterebeldes,7
francis25830521,vivimatus,7
felipeamayat,hugoguionista,7
